sample,Site,Sampling_location,Sites,Latitude,Longitude,BD,GWC,pH.H2O.,pH,soilpH,Total.C,Total.N,CN,KCl_NH4.N,KCl_NO3.N,WSOC,Na,NH4,K,Mg,Ca,Cl,NO3,SO4,Al,Fe,Mn,Cu,GMIN,GNIT,GNH4C,GNO3C,Branch_stock,Branch_C,Branch_N,Branch_CN,Leaf_stock,Leaf_C,Leaf_N,Leaf_CN,FH_stock,FH_C,FH_N,FH_CN,Soil.DNA,Bacterial.16S,Fungal.18S,F.B,AOA.amoA,AOB.amoA,AOA.AOB,Map_No,Site.y,N_degree,N_minute,N_second,E_degree,E_minute,E_second,Altitude,Slope_aspect,FSD,WRB,USDA,Forest_type,Dominant_tree_species,Understory,MAT,MAP,Sampling_date_1,Sampling_date_2,Sampling_date_3,Dominant_tree_type
S54,AKA,4,AKA4,39.85583333,140.1763889,0.25,0.39,5.44,5<pH¡Ü6,5-6,7.57,0.45,16.8,5.674,0.497,193.893,1.909,0.003,0.061,0.019,0.024,1.04,0.083,0.444,4.982,2.728,0.06,0.026,6.71,0.024,9.425,NA,5.02,46.15,0.13,367.57,2.74,48.6,0.44,110.03,15.36,34.43,0.74,46.55,28.7,66191955580,5309850668,0.08,2800516,280137,10,7,"Akita, artificial forest",39,51,21,140,10,35,80,S,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,"Lindera umbellata var. membranacea, Callicarpa japonica, Acer palmatum",11.2,1680,2012/10/19,2012/10/19,2012/10/19,Conifer
S55,AKA,5,AKA5,39.85583333,140.1763889,0.32,0.44,5.58,5<pH¡Ü6,5-6,7.9,0.46,17.17,5.674,0.497,279.951,1.747,0,0.021,0.017,0.046,0.632,0.108,0.255,7.582,3.972,0.047,0,8.527,0.225,9.596,0.1,5.37,47.07,0.13,351.35,3.29,48.98,0.35,138.48,24.45,40.61,0.83,48.71,66.6,1.31E+11,3180273442,0.024,5250555,1159136,4.5,7,"Akita, artificial forest",39,51,21,140,10,35,80,S,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,"Lindera umbellata var. membranacea, Callicarpa japonica, Acer palmatum",11.2,1680,2012/10/19,2012/10/19,2012/10/19,Conifer
S56,SGA,1,SGA1,37.70944444,139.2597222,0.42,0.5,4.57,4<pH¡Ü5,4-5,9.78,0.52,18.73,6.202,10.236,196.298,0.951,0.017,0.19,0.274,0.411,0.211,0.769,0.501,2.937,1.225,0.152,0,2.95,1.765,3.99,1.394,2.13,50.16,0.4,124.88,0.8,51.27,0.84,61.37,13.93,50.57,1.3,39.01,120.7,1.94E+11,1815642891,0.009,99781676,6485253,15.4,8,"Sugana, artificial forest",37,42,34,139,15,35,400,SW,BD(d),Cambisols,Inceptisols,Artificial coniferous forest (planted in 1963),Cryptomeria japonica,"Lindera umbellata var. membranacea, Aucuba japonica var. borealis, Schizophragma hydrangeoides",13.1,2330,2011/9/3,2012/11/23,2012/11/23,Conifer
S57,SGA,2,SGA2,37.70944444,139.2597222,0.5,0.46,4.59,4<pH¡Ü5,4-5,10.06,0.54,18.47,6.002,5.897,215.071,0.972,0.039,0.18,0.178,0.253,0.236,0.432,0.405,7.032,4.167,0.102,0,6.38,5.058,3.85,3.811,1.87,50.05,0.31,160.19,0.48,52.98,0.78,68.01,16.84,51.74,1.23,42.08,55.4,1.01E+11,1425486788,0.014,78693910,958695,82.1,8,"Sugana, artificial forest",37,42,34,139,15,35,400,SW,BD(d),Cambisols,Inceptisols,Artificial coniferous forest (planted in 1963),Cryptomeria japonica,"Lindera umbellata var. membranacea, Aucuba japonica var. borealis, Schizophragma hydrangeoides",13.1,2330,2011/9/3,2012/11/23,2012/11/23,Conifer
S58,SGA,3,SGA3,37.70944444,139.2597222,0.41,0.5,4.68,4<pH¡Ü5,4-5,15.47,0.82,18.83,8.886,10.383,362.538,1.22,0.072,0.139,0.361,0.755,0.271,0.826,0.373,10.766,8.4,0.086,0,4.549,2.551,5.401,NA,2,49.47,0.35,142.47,1.32,51.54,0.84,61.46,12.61,50.31,1.37,36.64,101.4,1.84E+11,2373385535,0.013,10553260,NA,NA,8,"Sugana, artificial forest",37,42,34,139,15,35,400,SW,BD(d),Cambisols,Inceptisols,Artificial coniferous forest (planted in 1963),Cryptomeria japonica,"Lindera umbellata var. membranacea, Aucuba japonica var. borealis, Schizophragma hydrangeoides",13.1,2330,2011/9/3,2012/11/23,2012/11/23,Conifer
S59,SGA,4,SGA4,37.70944444,139.2597222,0.33,0.53,4.47,4<pH¡Ü5,4-5,14.59,0.87,16.7,4.771,10.74,244.32,1.43,0.028,0.162,0.24,0.407,0.343,0.777,0.309,9.756,6.193,0.104,0,4.159,1.911,7.219,0.104,3.8,48.83,0.88,55.58,0.45,52.11,0.88,59.55,21.49,47.98,0.95,50.56,131.9,1.88E+11,3697430099,0.02,205312660,7412672,27.7,8,"Sugana, artificial forest",37,42,34,139,15,35,400,SW,BD(d),Cambisols,Inceptisols,Artificial coniferous forest (planted in 1963),Cryptomeria japonica,"Lindera umbellata var. membranacea, Aucuba japonica var. borealis, Schizophragma hydrangeoides",13.1,2330,2011/9/3,2012/11/23,2012/11/23,Conifer
S6,URN,2,URN2,44.35583333,142.2580556,0.52,0.42,4.5,4<pH¡Ü5,4-5,6.93,0.41,16.72,12.891,0.456,201.707,0.47,0.083,0.212,0.139,1.237,0.137,0.056,0.271,3.81,5.356,0,0.83,2.255,0.376,2.68,NA,0.68,44.53,0.53,84.01,1.99,41.3,1.34,30.72,19.46,45.24,1.5,30.11,49,80454155778,6102031594,0.076,14793403,14196728,1,1,"Uryu, natural forest",44,21,21,142,15,29,300,N,BD,Cambisols,Inceptisols,Cool temperate mixed forest,Abies sachalinensis,"Sasa senanensis, Viburnum furcatum",4.4,1150,2010/8/3,2012/11/2,2010/11/1,Conifer
S60,SGA,5,SGA5,37.70944444,139.2597222,0.42,0.52,4.68,4<pH¡Ü5,4-5,12.61,0.68,18.54,5.191,19.951,209.905,0.972,0.01,0.192,0.378,0.988,0.202,1.495,0.36,4.403,2.07,0.177,0,4.443,2.288,8.411,0.356,0,NA,NA,NA,0.16,51.09,1.04,49.03,14.29,50.72,0.96,53.07,117.5,2.31E+11,2844554543,0.012,208492034,1853506,112.5,8,"Sugana, artificial forest",37,42,34,139,15,35,400,SW,BD(d),Cambisols,Inceptisols,Artificial coniferous forest (planted in 1963),Cryptomeria japonica,"Lindera umbellata var. membranacea, Aucuba japonica var. borealis, Schizophragma hydrangeoides",13.1,2330,2011/9/3,2012/11/23,2012/11/23,Conifer
S61,SGN,1,SGN1,37.70722222,139.2644444,0.26,0.39,4.1,4<pH¡Ü5,4-5,15.17,0.68,22.45,8.716,0.204,304.206,1.485,0.091,0.138,0.191,0.082,0.458,0,0.478,2.745,0,0.127,0,2.607,0.013,2.251,NA,2.63,49.97,0.71,70.76,0.17,50.06,1.16,43.3,13.34,48.6,2.14,22.66,59.4,1.34E+11,32012360350,0.239,NA,NA,NA,8,"Sugana, natural forest",37,42,26,139,15,52,460,SW,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Fagus crenata,"Lindera umbellata var. membranacea, Viburnum furcatum, Daphniphyllum macropodum var. humile",13.1,2330,2011/9/3,2012/11/23,2010/10/23,Broadleaf
S62,SGN,2,SGN2,37.70722222,139.2644444,0.48,0.4,4.2,4<pH¡Ü5,4-5,11.74,0.54,21.56,9.684,0.149,332.213,1.021,0.078,0.106,0.16,0.076,0.339,0,0.345,17.071,10.111,0.037,0,2.87,0.002,1.653,0.305,0.66,51.82,0.75,68.84,0.15,49.58,1.29,38.4,14.79,47.72,1.95,24.47,79.8,1.75E+11,14078905721,0.08,958371,NA,NA,8,"Sugana, natural forest",37,42,26,139,15,52,460,SW,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Fagus crenata,"Lindera umbellata var. membranacea, Viburnum furcatum, Daphniphyllum macropodum var. humile",13.1,2330,2011/9/3,2012/11/23,2010/10/23,Broadleaf
S63,SGN,3,SGN3,37.70722222,139.2644444,0.41,0.37,3.93,pH¡Ü4,<4,13.37,0.56,23.87,6.91,0.108,113.999,0.929,0.03,0.104,0.062,0.042,0.41,0,0.226,9.804,7.165,0.02,0,0.861,NA,0.569,NA,0.29,50.11,0.63,79.21,0.02,50.45,1.21,41.83,30.36,45.63,1.64,27.86,83.8,1.49E+11,22960387456,0.154,235975,NA,NA,8,"Sugana, natural forest",37,42,26,139,15,52,460,SW,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Fagus crenata,"Lindera umbellata var. membranacea, Viburnum furcatum, Daphniphyllum macropodum var. humile",13.1,2330,2011/9/3,2012/11/23,2010/10/23,Broadleaf
S64,SGN,4,SGN4,37.70722222,139.2644444,0.33,0.44,3.67,pH¡Ü4,<4,17.58,0.85,20.74,12.399,0.13,190.778,1.31,0.094,0.163,0.204,0.082,0.423,0,0.677,13.445,10.851,0.029,0,3.431,NA,4.07,0.337,1.64,51.55,0.73,70.27,0.18,50.17,1.3,38.48,19.55,47.64,1.94,24.57,70.2,1.08E+11,7862085365,0.072,482554,NA,NA,8,"Sugana, natural forest",37,42,26,139,15,52,460,SW,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Fagus crenata,"Lindera umbellata var. membranacea, Viburnum furcatum, Daphniphyllum macropodum var. humile",13.1,2330,2011/9/3,2012/11/23,2010/10/23,Broadleaf
S65,SGN,5,SGN5,37.70722222,139.2644444,0.55,0.36,4.14,4<pH¡Ü5,4-5,8.89,0.39,22.64,7.11,0.139,190.277,0.888,0.052,0.114,0.076,0.043,0.221,0,0.315,15.901,11.791,0.028,0,2.211,0.113,1.625,0.039,0.44,50.14,0.77,64.82,0.05,50.05,1.19,42.18,17.64,47.96,1.68,28.53,51.9,80742542009,3711722037,0.046,4907738,NA,NA,8,"Sugana, natural forest",37,42,26,139,15,52,460,SW,BD(d),Cambisols,Inceptisols,Cool temperate deciduous broadleaved forest,Fagus crenata,"Lindera umbellata var. membranacea, Viburnum furcatum, Daphniphyllum macropodum var. humile",13.1,2330,2011/9/3,2012/11/23,2010/10/23,Broadleaf
S66,KTA,1,KTA1,36.52555556,140.3105556,0.37,0.46,5.61,5<pH¡Ü6,5-6,8.31,0.47,17.68,2.267,10.696,15.296,0.588,0.004,0.153,0.174,0.691,0.277,0.27,0.822,0.392,0.107,0.036,0.252,3.493,0.923,6.034,0.36,2.27,44.97,0.3,148.51,0.05,45.57,1.16,39.33,7.22,45.9,0.61,75.27,27.4,67302495226,948791067,0.014,38584141,1745380,22.1,10,"Katsura, artificial forest",36,31,32,140,18,38,240,NE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1965),Cryptomeria japonica,"Aucuba japonica, Helwingia japonica",12.9,1380,2012/11/21,2012/11/21,2012/11/21,Conifer
S67,KTA,2,KTA2,36.52555556,140.3105556,0.36,0.46,5.63,5<pH¡Ü6,5-6,10.03,0.55,18.39,2.267,10.696,49.409,0.8,0.048,0.239,0.406,1.383,0.637,0.985,0.677,0.919,0.126,0.087,0.294,3.376,1.8,6.705,0.42,2.14,44.93,0.96,46.58,0.08,46.82,1.07,43.88,8.98,45.51,0.83,54.76,23.5,40008822388,935316921,0.023,9525859,8504338,1.1,10,"Katsura, artificial forest",36,31,32,140,18,38,240,NE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1965),Cryptomeria japonica,"Aucuba japonica, Helwingia japonica",12.9,1380,2012/11/21,2012/11/21,2012/11/21,Conifer
S68,KTA,3,KTA3,36.52555556,140.3105556,0.44,0.53,5.78,5<pH¡Ü6,5-6,9.48,0.56,16.97,2.267,10.696,35.615,0.624,0.002,0.078,0.277,1.253,0.316,0.882,0.573,0.727,0.093,0.021,0.327,3.735,1.869,6.942,0.69,1.34,45.73,0.13,362.69,0.02,45.82,0.96,47.69,3.65,41.73,0.94,44.17,39.3,89526896595,969809997,0.011,118448051,4005316,29.6,10,"Katsura, artificial forest",36,31,32,140,18,38,240,NE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1965),Cryptomeria japonica,"Aucuba japonica, Helwingia japonica",12.9,1380,2012/11/21,2012/11/21,2012/11/21,Conifer
S69,KTA,4,KTA4,36.52555556,140.3105556,0.35,0.52,6.04,6<pH¡Ü7,6-7,8.58,0.52,16.39,2.267,10.696,36.708,0.613,0.004,0.109,0.249,1.268,0.205,0.897,0.599,0.501,0.061,0.008,0.272,5.168,1.425,7.802,1.249,0.65,45.35,0.16,285.94,0,NA,NA,NA,5.64,44.62,0.96,46.35,12.3,29475546845,225801718,0.008,5355645,2246766,2.4,10,"Katsura, artificial forest",36,31,32,140,18,38,240,NE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1965),Cryptomeria japonica,"Aucuba japonica, Helwingia japonica",12.9,1380,2012/11/21,2012/11/21,2012/11/21,Conifer
S7,URN,3,URN3,44.35583333,142.2580556,0.61,0.43,4.68,4<pH¡Ü5,4-5,8.99,0.57,15.77,38.725,1.606,164.252,0.553,0.296,0.472,0.195,1.239,0.397,0.09,0.595,5.002,23.832,0.143,0.7,2.477,0.853,1.438,NA,2.89,46.5,0.95,48.91,2.26,43.45,1.47,29.6,12.83,44.01,1.38,31.8,96.6,1.60E+11,7873548518,0.049,10625153,1099479,9.7,1,"Uryu, natural forest",44,21,21,142,15,29,300,N,BD,Cambisols,Inceptisols,Cool temperate mixed forest,Abies sachalinensis,"Sasa senanensis, Viburnum furcatum",4.4,1150,2010/8/3,2012/11/2,2010/11/1,Conifer
S70,KTA,5,KTA5,36.52555556,140.3105556,0.35,0.58,6.12,6<pH¡Ü7,6-7,11.51,0.67,17.06,2.267,10.696,64.625,0.805,0.004,0.184,0.352,1.691,0.301,0.922,0.719,1.3,0.195,0.009,0.271,6.273,2.236,8.457,1.643,1.94,45.65,0.14,321.97,0.08,39.48,1.34,29.57,6.32,44.17,0.71,62.05,66.9,1.53E+11,990068265,0.006,38667981,31496091,1.2,10,"Katsura, artificial forest",36,31,32,140,18,38,240,NE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1965),Cryptomeria japonica,"Aucuba japonica, Helwingia japonica",12.9,1380,2012/11/21,2012/11/21,2012/11/21,Conifer
S71,KTB,1,KTB1,36.52555556,140.3105556,0.45,0.37,5.32,5<pH¡Ü6,5-6,12.1,0.59,20.55,3.711,0,139.021,0.8,0.012,0.07,0.349,0.375,0.543,0,0.472,1.165,0.291,0.448,0.082,1.581,0.303,2.554,2.649,1.07,48.42,0.27,176.44,1.39,47.23,0.63,75.43,5.36,45.32,1.27,35.55,22,41280550746,17554638393,0.425,NA,NA,NA,10,"Katsura, broadleaved forest",36,31,32,140,18,38,240,NE,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Eurya japonica, Clethra barbinervis",12.9,1380,2012/11/22,2012/11/22,2012/11/22,Broadleaf
S72,KTB,2,KTB2,36.52555556,140.3105556,0.39,0.37,5.23,5<pH¡Ü6,5-6,9.31,0.45,20.9,3.711,0,0,0.586,0.002,0.061,0.209,0.31,0.292,0.06,0.659,0,0.048,0.134,0.084,3.156,0.053,4.791,0.281,0.29,46.56,0.62,75.09,1.23,45.97,1.15,40,5.33,45.36,1.49,30.36,12.2,26088115794,961258646,0.037,673616,9223958,0.1,10,"Katsura, broadleaved forest",36,31,32,140,18,38,240,NE,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Eurya japonica, Clethra barbinervis",12.9,1380,2012/11/22,2012/11/22,2012/11/22,Broadleaf
S73,KTB,3,KTB3,36.52555556,140.3105556,0.49,0.38,5.55,5<pH¡Ü6,5-6,10.04,0.52,19.42,3.711,0,4.427,0.539,0.001,0.048,0.208,0.332,0.582,0.062,0.283,0.348,0.035,0.106,0.109,2.404,0.023,4.427,0.146,1.24,46.58,0.44,106.37,0.99,45.38,0.84,53.86,5.43,44.67,1.1,40.76,20.8,44084355284,1584279377,0.036,10913474,NA,NA,10,"Katsura, broadleaved forest",36,31,32,140,18,38,240,NE,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Eurya japonica, Clethra barbinervis",12.9,1380,2012/11/22,2012/11/22,2012/11/22,Broadleaf
S74,KTB,4,KTB4,36.52555556,140.3105556,0.47,0.45,5.81,5<pH¡Ü6,5-6,10.03,0.54,18.46,3.711,0,61.93,0.638,0.141,0.143,0.134,0.49,0.497,0.071,0.369,1.162,0.216,0.018,0.077,NA,0.056,12.676,0.037,0.06,48.14,0.49,98.15,1.51,45.9,1.02,45.02,3.38,41.76,1.17,35.68,43.1,87443758682,2179227417,0.025,2446157,450598,5.4,10,"Katsura, broadleaved forest",36,31,32,140,18,38,240,NE,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Eurya japonica, Clethra barbinervis",12.9,1380,2012/11/22,2012/11/22,2012/11/22,Broadleaf
S75,KTB,5,KTB5,36.52555556,140.3105556,0.43,0.45,5.86,5<pH¡Ü6,5-6,10.94,0.57,19.13,3.711,0,38.975,0.549,0.002,0.068,0.191,0.513,0.235,0.404,0.444,0.175,0.04,0.056,0.115,3.135,0.316,5.041,NA,1.11,46.43,0.52,90.09,1.02,45.32,0.71,63.92,7.97,42.56,0.81,52.38,16,30074755699,537245537,0.018,25670297,389384,65.9,10,"Katsura, broadleaved forest",36,31,32,140,18,38,240,NE,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus serrata,"Eurya japonica, Clethra barbinervis",12.9,1380,2012/11/22,2012/11/22,2012/11/22,Broadleaf
S76,KSN,1,KSN1,36.54583333,139.4211111,0.34,0.63,4.99,4<pH¡Ü5,4-5,15.05,0.78,19.2,14.835,1.133,227.862,1.857,0.642,0.462,0.072,1.372,0.306,0.201,1.732,1.764,0.059,0,0,3.836,0.482,2.343,0.096,0,NA,NA,NA,0,47.46,1.84,25.79,3.99,44.75,1,44.81,155.7,2.69E+11,6778510992,0.025,60349216,NA,NA,11,"Kusaki, natural forest",36,32,45,139,25,16,980,SW,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Rhododendron diltatatum,9,1710,2010/8/2,2012/7/12,2010/10/19,Broadleaf
S77,KSN,2,KSN2,36.54583333,139.4211111,0.45,0.46,4.93,4<pH¡Ü5,4-5,9.32,0.49,18.86,9,0.293,157.046,1.313,0.183,0.397,0.054,1.081,0.186,0.062,1.208,1.078,0,0,0,1.214,0.437,1.227,0.673,0.1,48.32,0.56,85.83,0,NA,NA,NA,5.88,27.79,0.88,31.64,151.9,3.35E+11,3242812498,0.01,17885682,768388,23.3,11,"Kusaki, natural forest",36,32,45,139,25,16,980,SW,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Rhododendron diltatatum,9,1710,2010/8/2,2012/7/12,2010/10/19,Broadleaf
S78,KSN,3,KSN3,36.54583333,139.4211111,0.33,0.58,5.15,5<pH¡Ü6,5-6,13.79,0.78,17.71,12.848,0.501,122.347,0.885,0.128,0.284,0.253,1.355,0.15,0.048,1.158,0.625,0,0,0,3.12,1.6,0.642,2.623,0.54,49.21,0.61,81.03,0.1,48.28,1.37,35.17,14.86,35.52,1.44,24.61,137.6,3.32E+11,10458283126,0.032,43732152,16616802,2.6,11,"Kusaki, natural forest",36,32,45,139,25,16,980,SW,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Rhododendron diltatatum,9,1710,2010/8/2,2012/7/12,2010/10/19,Broadleaf
S79,KSN,4,KSN4,36.54583333,139.4211111,0.38,0.6,5,4<pH¡Ü5,4-5,10.35,0.6,17.11,12.194,5.299,109.213,0.857,0.125,0.433,0.14,1.175,0.144,0.299,1.129,0.231,0,0,0,2.935,1.213,1.981,NA,0.66,48.39,0.66,73.38,0.27,45.63,1.32,34.54,25.99,38.17,1.35,28.18,89.9,1.04E+11,4620807296,0.044,11761276,888040,13.2,11,"Kusaki, natural forest",36,32,45,139,25,16,980,SW,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Rhododendron diltatatum,9,1710,2010/8/2,2012/7/12,2010/10/19,Broadleaf
S8,URN,4,URN4,44.35583333,142.2580556,0.77,0.36,4.6,4<pH¡Ü5,4-5,6.09,0.37,16.49,9.24,0.163,110.489,0.355,0.115,0.18,0.135,0.771,0.109,0.021,0.316,7.226,17.519,0.088,0.007,2.048,NA,0.835,0.188,0.6,44.69,0.68,65.43,1.98,44.94,1.59,28.28,5.08,43.76,1.72,25.5,22.5,46920910983,2911390315,0.062,22452408,1055904,21.3,1,"Uryu, natural forest",44,21,21,142,15,29,300,N,BD,Cambisols,Inceptisols,Cool temperate mixed forest,Abies sachalinensis,"Sasa senanensis, Viburnum furcatum",4.4,1150,2010/8/3,2012/11/2,2010/11/1,Conifer
S80,KSN,5,KSN5,36.54583333,139.4211111,0.54,0.47,5,4<pH¡Ü5,4-5,11.5,0.63,18.21,11.397,0.522,100.834,0.588,0.12,0.309,0.087,1.216,0.14,0.037,0.656,1.316,0.037,0,0,3.857,1.114,3.758,1.243,0.1,48.4,0.61,79.88,0.07,45.01,1.3,34.56,16.31,26.46,0.87,30.5,121.4,2.99E+11,8752937611,0.029,32245538,1659130,19.4,11,"Kusaki, natural forest",36,32,45,139,25,16,980,SW,BD(d),Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Rhododendron diltatatum,9,1710,2010/8/2,2012/7/12,2010/10/19,Broadleaf
S81,OYB,1,OYB1,36.56305556,139.3522222,0.23,0.42,5.48,5<pH¡Ü6,5-6,11.08,0.67,16.6,2.341,22.782,47.379,0.623,0.001,0.124,0.242,1.628,0.228,1.544,0.45,0.821,0.006,0.054,0.001,2.559,NA,5.028,NA,1.55,47.67,0.29,161.99,0.4,50.16,0.68,73.7,5.71,45.06,0.91,49.59,66.1,1.48E+11,911411163,0.006,539961649,50241579,10.7,11,"Oyasan, old-aged artificial forest",36,33,47,139,21,8,820,S,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1907),Cryptomeria japonica,Hydrangea serrata,9.8,1690,2012/10/17,2012/10/17,2012/10/17,Conifer
S82,OYB,2,OYB2,36.56305556,139.3522222,0.38,0.36,4.78,4<pH¡Ü5,4-5,8.95,0.45,19.88,2.341,22.782,25.193,0.52,0.001,0.309,0.201,1.387,0.19,1.365,0.897,0,0.007,0.248,0.003,2.395,NA,4.433,NA,0.11,45.46,0.21,221.41,0.17,49.12,0.86,57.19,8.28,44.92,0.9,50,38.5,73521884080,496216379,0.007,330578028,2027185,163.1,11,"Oyasan, old-aged artificial forest",36,33,47,139,21,8,820,S,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1907),Cryptomeria japonica,Hydrangea serrata,9.8,1690,2012/10/17,2012/10/17,2012/10/17,Conifer
S83,OYB,3,OYB3,36.56305556,139.3522222,0.41,0.47,5.28,5<pH¡Ü6,5-6,13.12,0.74,17.77,2.341,22.782,55.102,0.647,0,0.04,0.132,1.353,0.168,1.138,0.437,1.532,0.07,0.045,0,4.391,1.006,7.28,0.746,1.23,46.91,0.28,166.44,0.08,48.45,0.83,58.7,10.1,47.83,0.94,50.97,61.6,1.52E+11,518439304,0.003,874381663,8819449,99.1,11,"Oyasan, old-aged artificial forest",36,33,47,139,21,8,820,S,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1907),Cryptomeria japonica,Hydrangea serrata,9.8,1690,2012/10/17,2012/10/17,2012/10/17,Conifer
S84,OYB,4,OYB4,36.56305556,139.3522222,0.32,0.55,5.19,5<pH¡Ü6,5-6,14.62,0.85,17.24,2.341,22.782,60.927,0.76,0,0.121,0.218,1.675,0.249,1.343,0.653,1.567,0.034,0.018,0,3.996,NA,6.85,NA,0.91,46.14,0.11,425.59,0.08,49.85,0.71,69.83,11.75,45.72,0.75,61.37,81.1,1.87E+11,974587396,0.005,574197297,1825282,314.6,11,"Oyasan, old-aged artificial forest",36,33,47,139,21,8,820,S,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1907),Cryptomeria japonica,Hydrangea serrata,9.8,1690,2012/10/17,2012/10/17,2012/10/17,Conifer
S85,OYB,5,OYB5,36.56305556,139.3522222,0.47,0.43,5.08,5<pH¡Ü6,5-6,10.17,0.51,19.81,2.341,22.782,47.351,0.607,0,0.038,0.167,1.73,0.126,1.6,0.434,1.031,0.038,0.108,0,5.509,1.049,7.733,0.378,1.42,42.68,0.25,171.59,0,49.13,0.72,68.33,10.56,44.55,0.79,56.69,77.2,2.01E+11,700409758,0.003,1343366352,3652588,367.8,11,"Oyasan, old-aged artificial forest",36,33,47,139,21,8,820,S,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1907),Cryptomeria japonica,Hydrangea serrata,9.8,1690,2012/10/17,2012/10/17,2012/10/17,Conifer
S86,OYC,1,OYC1,36.56222222,139.3536111,0.29,0.51,5.52,5<pH¡Ü6,5-6,14.11,1,14.13,2.653,1.297,51.742,0.461,0.008,0.131,0.023,0.589,0.062,0.336,0.47,1.53,0.123,0.051,0,1.507,0.034,7.251,NA,0.43,45.75,0.12,371.56,0,NA,NA,NA,4.41,42.28,0.61,69.07,104.5,2.49E+11,789916710,0.003,92514368,16250425,5.7,11,"Oyasan, young-aged artificial forest",36,33,44,139,21,13,770,SE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 2001),Cryptomeria japonica,"Hydrangea serrata, Rubus phoenicolasius, Rubus crataegifolius",9.8,1690,2013/11/18,2013/11/18,2013/11/18,Conifer
S87,OYC,2,OYC2,36.56222222,139.3536111,0.44,0.5,5.48,5<pH¡Ü6,5-6,9.47,0.7,13.61,2.653,1.297,19.509,0.12,0.004,0,0.198,0.943,0.053,0.238,1.034,0.183,0,0.036,0.008,4.196,0.963,9.846,NA,0.12,42.54,0.33,130.2,0.25,36.04,0.46,79.13,1.04,32.09,0.59,53.99,42.6,1.28E+11,1029516495,0.008,303820624,2173691,139.8,11,"Oyasan, young-aged artificial forest",36,33,44,139,21,13,770,SE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 2001),Cryptomeria japonica,"Hydrangea serrata, Rubus phoenicolasius, Rubus crataegifolius",9.8,1690,2013/11/18,2013/11/18,2013/11/18,Conifer
S88,OYC,3,OYC3,36.56222222,139.3536111,0.48,0.48,5.61,5<pH¡Ü6,5-6,5.96,0.44,13.46,2.653,1.297,17.913,0.149,0.004,0.003,0.089,0.766,0.066,0.117,0.888,0.235,0.003,0.025,0,NA,0.152,NA,NA,0.05,41.55,0.74,55.89,0,NA,NA,NA,1.98,34.11,0.94,36.41,14.2,38056161311,263937824,0.007,142076772,7799150,18.2,11,"Oyasan, young-aged artificial forest",36,33,44,139,21,13,770,SE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 2001),Cryptomeria japonica,"Hydrangea serrata, Rubus phoenicolasius, Rubus crataegifolius",9.8,1690,2013/11/18,2013/11/18,2013/11/18,Conifer
S89,OYC,4,OYC4,36.56222222,139.3536111,0.53,0.45,5.54,5<pH¡Ü6,5-6,7.72,0.54,14.21,2.653,1.297,55.054,0.269,0.007,0.024,0.056,0.635,0.075,0.31,0.466,1.026,0.091,0.039,0.043,0.093,0.589,3.217,NA,2.39,42.86,0.62,69.31,0,NA,NA,NA,1.87,35.15,1.04,33.64,67.2,2.00E+11,924311032,0.005,565419541,31001934,18.2,11,"Oyasan, young-aged artificial forest",36,33,44,139,21,13,770,SE,BD,Andosols,Andisols,Artificial coniferous forest (planted in 2001),Cryptomeria japonica,"Hydrangea serrata, Rubus phoenicolasius, Rubus crataegifolius",9.8,1690,2013/11/18,2013/11/18,2013/11/18,Conifer
